"statistikkvariabel"	"region"	"2019 0-9 år"	"2019 10-19 år"	"2019 20-29 år"	"2019 30-39 år"	"2019 40-49 år"	"2019 50-59 år"	"2019 60-69 år"	"2019 70-79 år"	"2019 80-89 år"	"2019 90-99 år"	"2019 100 år eller eldre"
"Personer"	"K-0101 Halden"	3221	3734	3947	3602	4166	4318	3768	2917	1203	297	4
"Personer"	"K-0104 Moss"	3469	3876	3624	3947	4682	4656	3767	3136	1281	284	4
"Personer"	"K-0105 Sarpsborg"	6303	6911	6678	6940	7865	7481	6283	4969	2106	456	5
"Personer"	"K-0106 Fredrikstad"	8715	9989	10196	9596	11371	11586	9582	7016	3111	601	9
"Personer"	"K-0111 Hvaler"	362	507	366	390	584	719	874	586	172	38	1
"Personer"	"K-0118 Aremark"	127	173	104	127	165	241	198	138	68	15	1
"Personer"	"K-0119 Marker"	342	387	367	333	458	561	485	428	192	39	0
"Personer"	"K-0121 Rømskog"	61	77	48	76	86	105	87	69	53	11	0
"Personer"	"K-0122 Trøgstad"	565	622	597	615	762	838	606	511	180	51	0
"Personer"	"K-0123 Spydeberg"	736	729	646	840	837	743	722	564	188	37	0
"Personer"	"K-0124 Askim"	1725	1974	1751	1932	2275	2209	1947	1417	498	135	2
"Personer"	"K-0125 Eidsberg"	1204	1406	1277	1381	1591	1579	1356	1055	444	127	4
"Personer"	"K-0127 Skiptvet"	442	524	432	475	535	514	435	297	108	35	0
"Personer"	"K-0128 Rakkestad"	892	1037	899	946	1124	1133	1082	709	326	81	1
"Personer"	"K-0135 Råde"	843	916	743	864	1112	995	954	704	335	73	3
"Personer"	"K-0136 Rygge"	1684	2026	1758	1816	2364	2407	1914	1420	646	109	1
"Personer"	"K-0137 Våler"	808	655	609	873	809	695	593	405	127	19	0
"Personer"	"K-0138 Hobøl"	708	605	735	801	820	816	556	410	159	32	0
"Personer"	"K-0211 Vestby"	2379	2399	1723	2272	2835	2280	1900	1541	420	74	1
"Personer"	"K-0213 Ski"	3851	4422	3268	3808	4865	4122	2993	2391	936	186	1
"Personer"	"K-0214 Ås"	2424	2426	3628	2765	2721	2555	1731	1328	623	131	3
"Personer"	"K-0215 Frogn"	1532	2074	1563	1447	2352	2628	1892	1613	569	90	1
"Personer"	"K-0216 Nesodden"	2505	2634	1864	2288	2973	2892	2231	1439	549	111	2
"Personer"	"K-0217 Oppegård"	3424	3731	2633	3111	4098	3827	2968	2354	1026	219	3
"Personer"	"K-0219 Bærum"	16413	16664	13091	16438	18840	17473	12864	9135	4561	1331	31
"Personer"	"K-0220 Asker"	7767	8583	6348	7432	9182	8824	6257	4488	2157	476	9
"Personer"	"K-0221 Aurskog-Høland"	1843	1988	1772	2066	2461	2312	1838	1494	592	130	4
"Personer"	"K-0226 Sørum"	2509	2516	1965	2641	2904	2385	1631	1136	484	91	1
"Personer"	"K-0227 Fet"	1470	1512	1245	1589	1845	1696	1164	883	375	63	0
"Personer"	"K-0228 Rælingen"	2481	2298	2092	2747	2779	2384	1643	1232	430	75	0
"Personer"	"K-0229 Enebakk"	1373	1510	1118	1484	1762	1518	1117	859	241	43	1
"Personer"	"K-0230 Lørenskog"	4843	5018	5047	5519	5869	5459	4017	3018	1110	202	4
"Personer"	"K-0231 Skedsmo"	6504	7035	7188	7578	8462	7539	5110	4131	1751	345	9
"Personer"	"K-0233 Nittedal"	3178	3382	2440	3022	3989	3469	2146	1732	636	94	1
"Personer"	"K-0234 Gjerdrum"	827	955	728	811	1114	1020	647	489	209	22	1
"Personer"	"K-0235 Ullensaker"	4973	5067	4857	5638	6070	4817	3203	2488	951	168	2
"Personer"	"K-0236 Nes"	2633	2612	2481	2861	3190	3145	2500	1679	656	126	2
"Personer"	"K-0237 Eidsvoll"	3109	3054	2801	3640	3594	3299	2704	1914	656	144	4
"Personer"	"K-0238 Nannestad"	1727	1841	1644	1992	2148	1793	1264	915	308	49	1
"Personer"	"K-0239 Hurdal"	327	319	298	310	397	395	393	257	130	36	2
"Personer"	"K-0301 Oslo"	80049	65042	119664	129336	95102	75989	56332	38598	16162	4604	193
"Personer"	"K-0402 Kongsvinger"	1645	2061	1988	1774	2384	2567	2446	2019	767	171	1
"Personer"	"K-0403 Hamar"	3098	3556	4022	3691	3991	4021	3975	3057	1365	361	7
"Personer"	"K-0412 Ringsaker"	3629	4180	4071	4122	4658	4917	4043	3205	1361	295	7
"Personer"	"K-0415 Løten"	811	869	875	959	975	1063	1020	743	274	73	1
"Personer"	"K-0417 Stange"	2405	2382	2402	2580	2809	2857	2629	1864	806	182	0
"Personer"	"K-0418 Nord-Odal"	408	583	494	474	694	743	738	575	269	46	0
"Personer"	"K-0419 Sør-Odal"	742	880	876	840	1118	1215	1109	714	311	73	1
"Personer"	"K-0420 Eidskog"	489	644	624	513	796	1020	958	684	292	94	0
"Personer"	"K-0423 Grue"	274	498	481	358	558	736	781	610	265	82	3
"Personer"	"K-0425 Åsnes"	580	782	710	685	957	1057	1058	891	402	91	1
"Personer"	"K-0426 Våler"	299	375	373	312	491	584	567	450	201	52	1
"Personer"	"K-0427 Elverum"	2286	2540	2757	2468	2858	2749	2534	1985	812	201	1
"Personer"	"K-0428 Trysil"	580	721	701	658	844	999	879	791	343	87	4
"Personer"	"K-0429 Åmot"	385	510	764	444	528	571	544	406	200	54	1
