"region"	"Registrert helt arbeidsledige 2015M11"	"Registrert helt arbeidsledige 2016M11"	"Registrert helt arbeidsledige 2017M11"	"Registrert helt arbeidsledige 2018M11"
"0101 Halden"	3.1	3.0	2.7	2.7
"0104 Moss"	3.8	3.6	3.4	3.2
"0105 Sarpsborg"	3.0	2.9	2.8	3.2
"0106 Fredrikstad"	3.2	3.0	2.9	3.1
"0111 Hvaler"	2.0	2.3	2.0	1.9
"0118 Aremark"	2.8	2.9	1.8	1.9
"0119 Marker"	2.4	1.6	1.5	1.1
"0121 Rømskog"	1.5	0.9	0.3	1.2
"0122 Trøgstad"	1.8	1.3	1.5	1.1
"0123 Spydeberg"	2.8	1.8	2.1	1.8
"0124 Askim"	4.2	3.6	3.3	3.0
"0125 Eidsberg"	3.9	3.3	3.0	2.9
"0127 Skiptvet"	2.3	2.1	1.7	1.4
"0128 Rakkestad"	2.8	2.7	2.3	1.9
"0135 Råde"	2.2	2.6	2.1	2.1
"0136 Rygge"	2.8	2.6	2.0	2.1
"0137 Våler (Østfold)"	2.3	2.2	2.1	1.9
"0138 Hobøl"	3.2	2.6	2.1	1.9
"0211 Vestby"	2.4	2.0	2.0	1.6
"0213 Ski"	2.5	1.9	1.9	1.8
"0214 Ås"	2.8	2.4	1.9	2.1
"0215 Frogn"	1.9	1.9	1.7	1.7
"0216 Nesodden"	1.9	1.9	1.5	1.6
"0217 Oppegård"	1.8	1.8	1.8	1.9
"0219 Bærum"	2.1	2.0	1.9	1.7
"0220 Asker"	2.0	2.1	1.7	1.6
"0221 Aurskog-Høland"	2.7	2.6	2.3	2.4
"0226 Sørum"	2.3	2.3	1.9	2.2
"0227 Fet"	2.7	2.1	1.9	2.1
"0228 Rælingen"	2.6	2.3	1.9	1.6
"0229 Enebakk"	2.8	2.6	2.7	2.4
"0230 Lørenskog"	2.8	2.5	2.3	2.0
"0231 Skedsmo"	2.7	2.5	2.1	2.4
"0233 Nittedal"	2.4	2.1	1.3	1.5
"0234 Gjerdrum"	1.6	1.1	1.1	1.0
"0235 Ullensaker"	3.2	3.2	2.7	2.6
"0236 Nes (Akershus)"	2.7	2.4	1.8	1.3
"0237 Eidsvoll"	2.7	2.4	2.1	2.1
"0238 Nannestad"	3.1	2.1	1.7	1.7
"0239 Hurdal"	1.9	2.5	2.2	1.4
"0301 Oslo kommune"	3.1	2.9	2.5	2.5
"0402 Kongsvinger"	2.7	2.4	2.4	2.4
"0403 Hamar"	1.9	1.7	1.7	2.0
"0412 Ringsaker"	2.2	1.7	1.5	1.8
"0415 Løten"	2.6	2.1	1.5	2.0
"0417 Stange"	2.4	2.0	1.9	2.2
"0418 Nord-Odal"	2.1	2.2	1.7	1.7
"0419 Sør-Odal"	2.4	2.3	1.8	1.9
"0420 Eidskog"	3.2	2.8	2.4	2.9
"0423 Grue"	3.2	2.8	1.8	3.3
"0425 Åsnes"	2.7	2.0	2.0	2.2
"0426 Våler (Hedmark)"	2.2	2.2	2.8	2.5
"0427 Elverum"	2.1	1.8	1.7	1.7
"0428 Trysil"	3.5	3.1	2.7	3.4
"0429 Åmot"	1.8	2.2	1.6	1.3
"0430 Stor-Elvdal"	2.9	2.7	2.4	2.0
"0432 Rendalen"	1.8	1.5	1.1	1.4
"0434 Engerdal"	1.2	2.2	1.6	1.6
"0436 Tolga"	1.1	2.7	0.8	1.6
"0437 Tynset"	1.0	1.2	0.5	0.8
"0438 Alvdal"	0.5	0.9	0.8	0.8
"0439 Folldal"	0.9	0.6	1.1	1.9
"0441 Os (Hedmark)"	1.4	1.5	1.6	0.7
"0501 Lillehammer"	1.6	1.2	1.2	1.4
"0502 Gjøvik"	2.1	2.0	1.7	2.2
"0511 Dovre"	2.9	2.0	1.7	1.9
"0512 Lesja"	1.3	1.3	1.0	1.1
"0513 Skjåk"	2.1	2.3	1.6	2.1
"0514 Lom"	1.5	1.2	1.1	1.3
"0515 Vågå"	2.1	1.8	1.7	1.9
"0516 Nord-Fron"	2.0	2.6	1.8	2.4
"0517 Sel"	2.6	3.4	2.6	2.9
"0519 Sør-Fron"	2.1	2.1	1.2	1.8
"0520 Ringebu"	1.7	1.7	1.3	1.8
"0521 Øyer"	2.3	1.6	1.6	1.3
"0522 Gausdal"	1.3	1.5	0.9	0.8
"0528 Østre Toten"	2.0	1.6	1.1	1.5
"0529 Vestre Toten"	1.3	1.6	1.3	1.8
"0532 Jevnaker"	2.9	1.7	1.8	2.0
"0533 Lunner"	2.3	2.3	1.9	1.7
"0534 Gran"	2.3	2.3	2.0	2.2
"0536 Søndre Land"	2.1	2.2	1.7	1.8
"0538 Nordre Land"	2.0	1.9	2.3	1.5
