"region"	"Netto driftresultat i prosent av brutto driftsinntekter (prosent) 2015"	"Netto driftresultat i prosent av brutto driftsinntekter (prosent) 2016"	"Netto driftresultat i prosent av brutto driftsinntekter (prosent) 2017"	"Netto driftresultat i prosent av brutto driftsinntekter (prosent) 2018"
"0101 Halden"	2.3	4.5	6.2	3.7
"0104 Moss"	3.9	3.9	4.1	1.7
"0105 Sarpsborg"	1.2	3.2	2.4	1.5
"0106 Fredrikstad"	1.2	2.7	2.6	0.4
"0111 Hvaler"	-0.8	-0.6	3.9	2.4
"0118 Aremark"	0.5	-0.5	-0.7	4.0
"0119 Marker"	3.2	6.9	6.5	2.9
"0121 Rømskog"	2.6	7.7	2.4	-7.5
"0122 Trøgstad"	4.9	5.0	3.4	-1.6
"0123 Spydeberg"	0.2	0.2	1.5	-1.2
"0124 Askim"	1.4	3.5	3.1	2.1
"0125 Eidsberg"	2.1	2.0	3.5	0.8
"0127 Skiptvet"	1.4	4.6	2.9	1.2
"0128 Rakkestad"	1.7	3.7	3.0	3.5
"0135 Råde"	2.7	3.9	0.1	1.8
"0136 Rygge"	3.3	4.4	1.6	0.6
"0137 Våler"	5.6	6.7	4.8	-0.1
"0138 Hobøl"	-0.3	4.7	17.3	-0.7
"0211 Vestby"	6.0	4.3	4.7	5.5
"0213 Ski"	0.0	2.0	1.1	1.0
"0214 Ås"	4.0	3.3	2.1	1.2
"0215 Frogn"	4.3	3.0	2.7	0.5
"0216 Nesodden"	2.9	3.5	2.0	3.2
"0217 Oppegård"	5.2	5.4	4.1	1.0
"0219 Bærum"	4.7	8.6	9.4	5.3
"0220 Asker"	5.7	7.7	8.5	3.8
"0221 Aurskog-Høland"	4.7	5.1	4.3	1.3
"0226 Sørum"	0.8	3.5	1.4	1.0
"0227 Fet"	3.9	3.7	1.6	-1.5
"0228 Rælingen"	2.0	2.2	2.6	3.4
"0229 Enebakk"	2.7	4.7	2.3	0.2
"0230 Lørenskog"	2.5	2.4	3.3	3.4
"0231 Skedsmo"	3.8	3.4	4.5	0.7
"0233 Nittedal"	3.8	5.7	3.9	2.0
"0234 Gjerdrum"	2.1	7.8	7.4	3.2
"0235 Ullensaker"	4.7	4.1	0.1	-0.9
"0236 Nes"	4.1	2.3	0.1	-0.2
"0237 Eidsvoll"	5.5	4.9	3.6	0.6
"0238 Nannestad"	4.6	5.6	5.8	2.8
"0239 Hurdal"	-0.1	0.4	3.0	3.4
"0301 Oslo"	3.4	3.6	4.3	5.2
"0402 Kongsvinger"	4.5	2.2	2.9	2.1
"0403 Hamar"	3.0	5.7	5.4	3.2
"0412 Ringsaker"	4.0	4.7	2.9	1.4
"0415 Løten"	5.1	6.4	4.7	5.2
"0417 Stange"	5.1	5.7	3.8	1.5
"0418 Nord-Odal"	5.2	0.7	-1.0	-2.6
"0419 Sør-Odal"	2.7	4.4	4.3	-0.2
"0420 Eidskog"	3.9	4.5	1.9	1.0
"0423 Grue"	1.8	2.4	3.8	2.1
"0425 Åsnes"	-0.6	5.1	4.8	-0.7
"0426 Våler"	5.6	3.9	1.2	-5.0
"0427 Elverum"	2.4	2.9	1.2	0.1
"0428 Trysil"	2.6	1.3	1.1	-2.4
"0429 Åmot"	2.7	0.4	-2.6	-3.2
"0430 Stor-Elvdal"	4.1	3.3	2.5	4.4
"0432 Rendalen"	7.7	8.2	7.9	6.1
"0434 Engerdal"	5.1	5.6	1.3	-4.7
"0436 Tolga"	5.6	5.4	6.9	2.1
"0437 Tynset"	1.3	3.0	2.5	2.7
"0438 Alvdal"	6.6	6.9	2.4	-0.1
"0439 Folldal"	3.0	1.8	0.2	-0.9
"0441 Os"	2.9	2.0	5.3	3.0
"0501 Lillehammer"	1.0	2.8	3.3	1.2
"0502 Gjøvik"	2.5	4.2	3.3	0.8
"0511 Dovre"	1.3	2.3	-0.9	-1.5
